id,dialect_region,token,gloss_ar,source,filename,source_url,pos
1,Latakian,اخويا,أخي,voice_file,voice_record_1.mp3,,X
2,Latakian,راسي,راسي,voice_file,voice_record_1.mp3,,X
3,Latakian,حارتك,الحي,voice_file,voice_record_1.mp3,,NOUN
4,Latakian,والله,أقسم بالله,voice_file,voice_record_1.mp3,,VERB
5,Latakian,عيّن,أنظر,voice_file,voice_record_1.mp3,,VERB
6,Latakian,لمطلك,اجمع,voice_file,voice_record_1.mp3,,X
7,Latakian,لقطة,غنيمة,voice_file,voice_record_1.mp3,,NOUN
8,Latakian,البالا,محل البالة,voice_file,voice_record_1.mp3,,NOUN
9,Latakian,أزبطلك,أفضل لك,voice_file,voice_record_1.mp3,,X
10,Latakian,الأسعار,الأسعار,voice_file,voice_record_1.mp3,,NOUN
11,Latakian,بسوء,سوق,voice_file,voice_record_1.mp3,,NOUN
12,Latakian,نار,نار,voice_file,voice_record_1.mp3,,NOUN
13,Latakian,شاعلة,ملتهبة,voice_file,voice_record_1.mp3,,ADJ
14,Latakian,العمى,يا للعجب,voice_file,voice_record_1.mp3,,PART
15,Latakian,عيونين,أعينهم,voice_file,voice_record_1.mp3,,X
16,Latakian,التجار,التجار,voice_file,voice_record_1.mp3,,NOUN
17,Latakian,بقلبهم,بقلبهم,voice_file,voice_record_1.mp3,,X
18,Latakian,رحمة,رحمة,voice_file,voice_record_1.mp3,,NOUN
19,Latakian,خلص,كفى,voice_file,voice_record_1.mp3,,X
20,Latakian,دشر,أترك,voice_file,voice_record_1.mp3,,VERB
21,Latakian,شو,ماذا,voice_file,voice_record_1.mp3,,DET
22,Latakian,بدك,تريد,voice_file,voice_record_1.mp3,,VERB
23,Latakian,مفكرينا,يعتقدوننا,voice_file,voice_record_1.mp3,,X
24,Latakian,ولاد,أولاد,voice_file,voice_record_1.mp3,,NOUN
25,Latakian,يتشايعوا,تمني الموت,voice_file,voice_record_1.mp3,,VERB
26,Latakian,كلاكيشون,أعراضهم,voice_file,voice_record_1.mp3,,X
27,Latakian,اناني,قناني,voice_file,voice_record_1.mp3,,X
28,Latakian,ريحة,عطر,voice_file,voice_record_1.mp3,,NOUN
29,Latakian,الخفافات,الأحذية,voice_file,voice_record_1.mp3,,NOUN
30,Latakian,القلاشين,الجوارب,voice_file,voice_record_1.mp3,,NOUN
31,Latakian,علب,علب,voice_file,voice_record_1.mp3,,NOUN
32,Latakian,البريانطين,جيل الشعر,voice_file,voice_record_1.mp3,,NOUN
33,Latakian,اما عن طيبو,عن غير قصد,voice_file,voice_record_1.mp3,,NOUN
34,Latakian,بدي,أريد,voice_file,voice_record_1.mp3,,VERB
35,Latakian,بأديش,بكم,voice_file,voice_record_2.mp3,,X
36,Latakian,تحسبلنا,تحسب لنا,voice_file,voice_record_2.mp3,,VERB
37,Latakian,جارك,جارك,voice_file,voice_record_2.mp3,,X
38,Latakian,بنصف,بنصف,voice_file,voice_record_2.mp3,,NOUN
39,Latakian,السعر,السعر,voice_file,voice_record_2.mp3,,NOUN
40,Latakian,بس,فقط,voice_file,voice_record_2.mp3,,ADV
41,Latakian,ننفعك,نساعدك,voice_file,voice_record_2.mp3,,X
42,Latakian,دلتني,دلتني,voice_file,voice_record_2.mp3,,X
43,Latakian,قالت,قالت,voice_file,voice_record_2.mp3,,VERB
44,Latakian,ابن,ابن,voice_file,voice_record_2.mp3,,NOUN
45,Latakian,حلال,حلال,voice_file,voice_record_2.mp3,,NOUN
46,Latakian,آدمي,آدمي,voice_file,voice_record_2.mp3,,X
47,Latakian,غالواجي,يغلّي في السعر,voice_file,voice_record_2.mp3,,ADP
48,Latakian,بعدين,لاحقاً,voice_file,voice_record_2.mp3,,ADJ
49,Latakian,شو فياا,ماذا بها,voice_file,voice_record_2.mp3,,DET
50,Latakian,هون,هنا,voice_file,voice_record_3.mp3,,ADV
51,Latakian,منقوبة,مهترءة,voice_file,voice_record_3.mp3,,ADJ
52,Latakian,شوفوا,إنظروا,voice_file,voice_record_3.mp3,,VERB
53,Latakian,كمان,أيضاً,voice_file,voice_record_3.mp3,,ADV
54,Latakian,خياط,خياطة,voice_file,voice_record_3.mp3,,NOUN
55,Latakian,يرتيها,يخيطها,voice_file,voice_record_3.mp3,,VERB
56,Latakian,يزبطها,يصلحها,voice_file,voice_record_3.mp3,,VERB
57,Latakian,تكسر بخاطرو,تجعله حزيناً,voice_file,voice_record_4.mp3,,VERB
58,Latakian,عجبتو,أحبها,voice_file,voice_record_4.mp3,,X
59,Latakian,بيلبسا,يرتديها,voice_file,voice_record_4.mp3,,X
60,Latakian,ضبا,وظبها,voice_file,voice_record_5.mp3,,VERB
61,Latakian,مبيقيان,لم يبقى,voice_file,voice_record_5.mp3,,PART
62,Latakian,غير,إلا,voice_file,voice_record_5.mp3,,PART
63,Latakian,مصاري,أموال,voice_file,voice_record_5.mp3,,NOUN
64,Latakian,عكيناها مشوى,مشينا مسافة طويلة,voice_file,voice_record_5.mp3,,X
65,Latakian,يلعو قلبك,يصيبك الهم,voice_file,voice_record_6.mp3,,VERB
66,Latakian,شيبك,ماذا بك,voice_file,voice_record_7.mp3,,DET
67,Latakian,بصلتك محروقة,ليس لديك صبر,voice_file,voice_record_7.mp3,,ADP
68,Latakian,جوزك,زوجك,voice_file,voice_record_7.mp3,,X
69,Latakian,الشروطة,الرهانات,voice_file,voice_record_7.mp3,,NOUN
70,Latakian,انتو,أنتم,voice_file,voice_record_7.mp3,,VERB
71,Latakian,ناطرينو,منتظرين,voice_file,voice_record_7.mp3,,ADJ
72,Latakian,الزكا,الذكاء,voice_file,voice_record_8.mp3,,NOUN
73,Latakian,موني,لست,voice_file,voice_record_8.mp3,,VERB
74,Latakian,يقطاعو لعمرك,تمني الموت,voice_file,voice_record_8.mp3,,VERB
75,Latakian,الغشم,أغبياء,voice_file,voice_record_8.mp3,,ADJ
76,Latakian,اتو,أنتم,voice_file,voice_record_9.mp3,,VERB
77,Latakian,غشيمة,غبية,voice_file,voice_record_9.mp3,,ADJ
78,Latakian,أخوي,أخي,voice_file,voice_record_9.mp3,,X
79,Latakian,الاستاز,الأستاذ,voice_file,voice_record_9.mp3,,NOUN
80,Latakian,الجيئر,الوقح,voice_file,voice_record_10.mp3,,NOUN
81,Latakian,اخطيته,يا له من مسكين,voice_file,voice_record_10.mp3,,ADP
82,Latakian,برأبتك,برقبتك,voice_file,voice_record_10.mp3,,X
83,Latakian,بيسة,قطة,voice_file,voice_record_10.mp3,,X
84,Latakian,بنلزق هذه العجينة,دعنا نحاول,voice_file,voice_record_10.mp3,,X
85,Latakian,مظبوط كلامك,كلامك صحيح,voice_file,voice_record_10.mp3,,ADJ
86,Latakian,سد بوزك,أغلق فمك,voice_file,voice_record_11.mp3,,VERB
87,Latakian,بتستحي,تخجل,voice_file,voice_record_11.mp3,,VERB
88,Latakian,مهنديز,مهندس,voice_file,voice_record_11.mp3,,NOUN
89,Latakian,مليان ومنتلي,غني ,voice_file,voice_record_11.mp3,,X
90,Latakian,خلانج,جديدة,voice_file,voice_record_11.mp3,,ADJ
91,Latakian,بتي,إبنتي,voice_file,voice_record_11.mp3,,X
92,Latakian,لواح,شخص,voice_file,voice_record_11.mp3,,NOUN
93,Latakian,تصمي,أحمق,voice_file,voice_record_11.mp3,,ADJ
94,Latakian,نتوسة,قليلاً,voice_file,voice_record_11.mp3,,ADJ
95,Latakian,حلس ملس,ناعم الملمس,voice_file,voice_record_11.mp3,,ADJ
96,Latakian,واطي,منحط,voice_file,voice_record_18.mpeg,,ADJ
97,Latakian,تحكي,تتكلم,voice_file,voice_record_18.mpeg,,VERB
98,Latakian,أبوي,أبي,voice_file,voice_record_18.mpeg,,X
99,Latakian,بستحي,تخجل,voice_file,voice_record_18.mpeg,,VERB
100,Latakian,قلتلي,قلت لي,voice_file,voice_record_18.mpeg,,X
