id,dialect_region,token,gloss_ar,source,filename,source_url
1,Latakian,اخويا,أخي,voice_file,voice_record_1.mp3,
2,Latakian,راسي,راسي,voice_file,voice_record_1.mp3,
3,Latakian,حارتك,الحي,voice_file,voice_record_1.mp3,
4,Latakian,والله,أقسم بالله,voice_file,voice_record_1.mp3,
5,Latakian,عيّن,أنظر,voice_file,voice_record_1.mp3,
6,Latakian,لمطلك,اجمع,voice_file,voice_record_1.mp3,
7,Latakian,لقطة,غنيمة,voice_file,voice_record_1.mp3,
8,Latakian,البالا,محل البالة,voice_file,voice_record_1.mp3,
9,Latakian,أزبطلك,أفضل لك,voice_file,voice_record_1.mp3,
10,Latakian,الأسعار,الأسعار,voice_file,voice_record_1.mp3,
11,Latakian,بسوء,سوق,voice_file,voice_record_1.mp3,
12,Latakian,نار,نار,voice_file,voice_record_1.mp3,
13,Latakian,شاعلة,ملتهبة,voice_file,voice_record_1.mp3,
14,Latakian,العمى,يا للعجب,voice_file,voice_record_1.mp3,
15,Latakian,عيونين,أعينهم,voice_file,voice_record_1.mp3,
16,Latakian,التجار,التجار,voice_file,voice_record_1.mp3,
17,Latakian,بقلبهم,بقلبهم,voice_file,voice_record_1.mp3,
18,Latakian,رحمة,رحمة,voice_file,voice_record_1.mp3,
19,Latakian,خلص,كفى,voice_file,voice_record_1.mp3,
20,Latakian,دشر,أترك,voice_file,voice_record_1.mp3,
21,Latakian,شو,ماذا,voice_file,voice_record_1.mp3,
22,Latakian,بدك,تريد,voice_file,voice_record_1.mp3,
23,Latakian,مفكرينا,يعتقدوننا,voice_file,voice_record_1.mp3,
24,Latakian,ولاد,أولاد,voice_file,voice_record_1.mp3,
25,Latakian,يتشايعوا,تمني الموت,voice_file,voice_record_1.mp3,
26,Latakian,كلاكيشون,أعراضهم,voice_file,voice_record_1.mp3,
27,Latakian,اناني,قناني,voice_file,voice_record_1.mp3,
28,Latakian,ريحة,عطر,voice_file,voice_record_1.mp3,
29,Latakian,الخفافات,الأحذية,voice_file,voice_record_1.mp3,
30,Latakian,القلاشين,الجوارب,voice_file,voice_record_1.mp3,
